Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2018,LG,1,김현수,18  LF,5.17,6.05,-0.88,117,511,508,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,0.362,0.415,0.589,1.004,0.083,160.7,/player/?m=playerinfo&p_no=10187,10187
2018,LG,2,오지환,18  SS,4.97,2.43,2.54,144,617,605,533,93,148,26,2,11,211,71,10,5,59,7,3,146,6,12,6,0.278,0.354,0.396,0.750,-0.009,95.2,/player/?m=playerinfo&p_no=10475,10475
2018,LG,3,유강남,18  C,4.15,3.12,1.03,132,465,462,425,53,126,33,0,19,216,66,0,0,28,9,1,80,21,2,1,0.296,0.352,0.508,0.860,0.026,120.2,/player/?m=playerinfo&p_no=10753,10753
2018,LG,4,이형종,18  LF,3.09,3.48,-0.39,118,485,480,437,83,138,27,0,13,204,42,6,4,31,12,0,82,6,5,0,0.316,0.377,0.467,0.844,0.028,121.4,/player/?m=playerinfo&p_no=12516,12516
2018,LG,5,채은성,18  RF,2.67,5.10,-2.43,139,578,577,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,0.331,0.379,0.548,0.927,0.045,134.1,/player/?m=playerinfo&p_no=11215,11215
2018,LG,6,박용택,18  DH,1.71,3.16,-1.45,134,583,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,0.303,0.362,0.466,0.828,0.010,109.0,/player/?m=playerinfo&p_no=10485,10485
2018,LG,7,이천웅,18  LF,1.60,2.26,-0.66,112,405,402,359,61,122,22,3,2,156,39,10,10,39,3,2,48,11,2,2,0.340,0.407,0.435,0.842,0.018,114.2,/player/?m=playerinfo&p_no=10935,10935
2018,LG,8,양석환,18  1B,1.47,1.72,-0.25,140,519,518,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,0.263,0.303,0.455,0.758,-0.012,93.2,/player/?m=playerinfo&p_no=11213,11213
2018,LG,9,정주현,18  2B,1.38,0.87,0.51,115,339,333,303,48,79,14,2,6,115,31,18,3,27,2,0,68,9,6,1,0.261,0.324,0.380,0.704,-0.027,83.0,/player/?m=playerinfo&p_no=10480,10480
2018,두산,1,양의지,18  C,7.93,6.30,1.63,133,503,497,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.012,0.086,162.3,/player/?m=playerinfo&p_no=10165,10165
2018,두산,2,최주환,18  2B,7.07,7.06,0.01,138,590,589,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,0.333,0.397,0.582,0.979,0.082,160.0,/player/?m=playerinfo&p_no=10182,10182
2018,두산,3,김재환,18  LF,6.84,8.16,-1.32,139,602,600,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,0.099,172.4,/player/?m=playerinfo&p_no=10643,10643
2018,두산,4,오재일,18  1B,4.74,4.37,0.37,123,477,476,401,69,112,19,2,27,216,80,1,1,60,6,2,121,3,0,10,0.279,0.373,0.539,0.912,0.053,139.3,/player/?m=playerinfo&p_no=10400,10400
2018,두산,5,오재원,18  2B,4.51,3.38,1.13,132,521,518,473,78,148,24,1,15,219,81,15,6,41,2,0,119,13,3,2,0.313,0.369,0.463,0.832,0.020,116.1,/player/?m=playerinfo&p_no=10178,10178
2018,두산,6,김재호,18  SS,4.26,3.37,0.88,131,467,464,402,78,125,20,0,16,193,75,6,2,52,4,1,77,12,3,6,0.311,0.390,0.480,0.870,0.032,124.5,/player/?m=playerinfo&p_no=10174,10174
2018,두산,7,허경민,18  3B,4.23,3.51,0.71,133,577,572,516,85,167,30,5,10,237,79,20,4,32,16,0,52,15,5,8,0.324,0.376,0.459,0.835,0.015,112.1,/player/?m=playerinfo&p_no=10184,10184
2018,두산,8,박건우,18  CF,3.25,3.42,-0.17,125,529,527,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,1,2,0.326,0.373,0.473,0.846,0.019,115.3,/player/?m=playerinfo&p_no=10189,10189
2018,한화,1,호잉,18  RF,5.69,4.27,1.42,142,590,583,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5,0.306,0.369,0.573,0.942,0.031,123.6,/player/?m=playerinfo&p_no=13069,13069
2018,한화,2,이성열,18  DH,2.69,3.58,-0.89,131,528,526,485,76,143,21,1,34,268,102,9,7,35,5,3,143,9,1,2,0.295,0.347,0.553,0.900,0.026,120.4,/player/?m=playerinfo&p_no=10168,10168
2018,한화,3,송광민,18  3B,2.18,2.21,-0.03,113,460,460,434,63,129,24,0,18,207,79,4,4,18,4,0,93,13,0,4,0.297,0.328,0.477,0.805,0.003,103.9,/player/?m=playerinfo&p_no=10555,10555
2018,한화,4,이용규,18  CF,2.15,1.88,0.27,134,575,567,491,82,144,14,1,1,163,36,30,11,59,12,0,62,8,8,5,0.293,0.379,0.332,0.711,-0.017,90.2,/player/?m=playerinfo&p_no=10035,10035
2018,한화,5,최재훈,18  C,1.91,0.47,1.44,128,341,335,298,36,78,17,0,1,98,27,8,0,20,15,0,61,8,6,2,0.262,0.337,0.329,0.666,-0.040,73.8,/player/?m=playerinfo&p_no=10170,10170
2018,한화,6,정근우,18  2B,1.00,2.22,-1.22,102,425,423,375,63,114,24,1,11,173,57,6,5,39,7,1,43,12,1,3,0.304,0.377,0.461,0.838,0.009,108.4,/player/?m=playerinfo&p_no=10103,10103
2018,한화,7,하주석,18  SS,0.96,-0.30,1.26,141,517,516,484,67,123,20,3,9,176,52,14,12,28,4,0,130,7,1,0,0.254,0.300,0.364,0.664,-0.053,64.0,/player/?m=playerinfo&p_no=10913,10913
2018,SK_SSG,1,로맥,18  1B,5.94,5.76,0.18,141,616,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,0.316,0.404,0.597,1.001,0.055,140.8,/player/?m=playerinfo&p_no=12991,12991
2018,SK_SSG,2,한동민,18  RF,4.17,4.32,-0.14,136,562,560,486,97,138,31,0,41,292,115,4,2,52,16,3,124,10,0,8,0.284,0.367,0.601,0.968,0.034,126.2,/player/?m=playerinfo&p_no=10815,10815
2018,SK_SSG,3,최정,18  3B,3.73,3.17,0.56,115,489,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,0,2,0.244,0.368,0.547,0.915,0.021,116.7,/player/?m=playerinfo&p_no=10106,10106
