Year,Team,Rank,Name,Pos,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,url,player_id
2020,SK_SSG,1,문승원,20  P,4.23,25,25,0,1,1,0,6,8,0,0,145.2,59,64,63.00,610,136,29,0,13,45,6,0,117,8,0,2,3.65,3.95,3.89,3.88,4.13,1.24,/player/?m=playerinfo&p_no=10783,10783
2020,SK_SSG,2,박종훈,20  P,3.11,29,28,1,0,0,0,13,11,0,0,157.1,84,90,86.05,691,146,21,3,14,78,22,1,134,7,0,5,4.81,5.15,4.92,4.79,4.90,1.42,/player/?m=playerinfo&p_no=10131,10131
2020,SK_SSG,3,이건욱,20  P,1.84,27,25,2,0,0,0,6,12,0,0,122.0,77,77,74.40,542,105,16,4,11,81,6,0,91,2,1,6,5.68,5.68,5.49,5.41,5.41,1.52,/player/?m=playerinfo&p_no=11242,11242
2020,SK_SSG,4,핀토,20  P,1.15,30,30,0,0,0,0,6,15,0,0,162.0,111,121,118.05,766,198,35,1,19,90,11,3,112,7,2,11,6.17,6.72,6.56,6.47,5.58,1.78,/player/?m=playerinfo&p_no=14583,14583
2020,넥센_키움,1,요키시,20  P,6.08,27,27,0,0,0,0,12,7,0,0,159.2,38,53,50.45,640,144,26,3,6,25,6,0,115,15,1,3,2.14,2.99,2.84,3.00,3.24,1.06,/player/?m=playerinfo&p_no=13940,13940
2020,넥센_키움,2,브리검,20  P,3.16,21,21,0,0,0,0,9,5,0,0,107.0,43,45,41.90,456,98,7,2,6,42,5,1,105,2,0,8,3.62,3.79,3.52,3.69,3.57,1.31,/player/?m=playerinfo&p_no=12992,12992
2020,넥센_키움,3,한현희,20  P,2.33,25,25,0,0,0,0,7,9,0,0,135.2,75,77,71.35,587,141,20,1,10,37,14,2,109,6,2,3,4.98,5.11,4.73,4.86,4.01,1.31,/player/?m=playerinfo&p_no=10863,10863
2020,넥센_키움,4,이승호,20  P,2.10,24,23,1,0,0,0,6,6,0,0,118.2,67,71,64.30,517,132,20,1,15,40,5,0,73,4,1,3,5.08,5.38,4.88,5.06,5.14,1.45,/player/?m=playerinfo&p_no=12865,12865
2020,넥센_키움,5,최원태,20  P,1.49,21,21,0,0,0,0,7,6,0,0,110.0,62,68,64.05,478,115,16,1,16,37,7,2,67,4,0,6,5.07,5.56,5.24,5.42,5.42,1.38,/player/?m=playerinfo&p_no=11379,11379
2020,NC,1,루친스키,20  P,6.87,30,30,0,0,0,0,19,5,0,0,183.0,62,67,63.20,770,173,12,3,14,57,11,0,167,11,0,11,3.05,3.30,3.11,3.03,3.78,1.26,/player/?m=playerinfo&p_no=13932,13932
2020,NC,2,라이트,20  P,3.37,29,29,0,0,0,0,11,9,0,0,157.2,82,87,82.05,696,164,27,2,12,63,10,0,125,7,2,5,4.68,4.97,4.68,4.60,4.35,1.44,/player/?m=playerinfo&p_no=14596,14596
2020,KT,1,데스파이네,20  P,4.12,35,34,1,0,0,0,15,8,0,0,207.2,100,105,104.45,906,233,36,1,18,68,8,1,152,7,0,18,4.33,4.55,4.53,4.40,4.33,1.45,/player/?m=playerinfo&p_no=14602,14602
2020,KT,2,쿠에바스,20  P,3.49,27,27,0,0,0,0,10,8,0,0,158.0,72,80,77.45,668,152,26,1,16,46,9,0,110,8,0,4,4.10,4.56,4.41,4.38,4.54,1.25,/player/?m=playerinfo&p_no=13942,13942
2020,KT,3,배제성,20  P,3.43,26,26,0,0,0,0,10,7,0,0,141.1,62,67,65.45,619,130,30,1,12,76,4,0,83,8,1,11,3.95,4.27,4.17,4.14,5.29,1.46,/player/?m=playerinfo&p_no=11394,11394
2020,KT,4,소형준,20  P,3.24,26,24,2,0,0,0,13,6,0,0,133.0,57,63,61.60,572,141,23,0,6,45,6,0,92,5,0,2,3.86,4.26,4.17,4.12,3.99,1.40,/player/?m=playerinfo&p_no=14600,14600
2020,KT,5,김민수,20  P,-0.22,33,18,15,3,0,0,3,8,0,0,103.1,70,80,83.40,482,151,22,1,14,30,4,0,63,8,0,6,6.10,6.97,7.26,7.36,5.10,1.75,/player/?m=playerinfo&p_no=11317,11317
2021,삼성,1,백정현,21  P,6.15,27,27,0,0,0,0,14,5,0,0,157.2,46,54,53.30,648,142,25,1,15,54,2,2,109,6,0,5,2.63,3.08,3.04,2.98,4.23,1.24,/player/?m=playerinfo&p_no=10363,10363
2021,삼성,2,원태인,21  P,6.03,26,26,0,0,0,0,14,7,0,0,158.2,54,59,57.80,655,147,32,1,11,51,5,1,129,4,1,5,3.06,3.35,3.28,3.11,3.65,1.25,/player/?m=playerinfo&p_no=14113,14113
2021,삼성,3,뷰캐넌,21  P,5.69,30,30,0,1,1,1,16,5,0,0,177.0,61,71,69.80,758,173,25,4,13,59,2,2,162,11,0,7,3.10,3.61,3.55,3.55,3.39,1.31,/player/?m=playerinfo&p_no=14617,14617
2021,삼성,4,최채흥,21  P,2.51,26,20,6,2,1,0,5,9,0,2,122.1,62,66,64.10,538,143,21,2,16,37,2,1,82,4,1,4,4.56,4.86,4.72,4.63,4.61,1.47,/player/?m=playerinfo&p_no=13156,13156
2021,KIA,1,멩덴,21  P,3.48,21,21,0,0,0,0,8,3,0,0,120.0,48,53,51.95,502,109,18,2,12,35,8,0,104,7,3,2,3.60,3.97,3.90,3.95,3.90,1.20,/player/?m=playerinfo&p_no=14755,14755
2021,KIA,2,임기영,21  P,3.27,28,28,0,0,0,0,8,8,0,0,153.0,83,85,78.95,662,155,29,1,15,45,11,0,129,7,2,6,4.88,5.00,4.64,4.54,3.96,1.31,/player/?m=playerinfo&p_no=10909,10909
2021,롯데,1,박세웅,21  P,5.23,28,28,0,1,1,1,10,9,0,0,163.0,72,75,72.40,685,141,24,0,20,53,10,0,125,7,0,17,3.98,4.14,4.00,3.80,4.51,1.19,/player/?m=playerinfo&p_no=11310,11310
2021,롯데,2,스트레일리,21  P,4.37,31,31,0,0,0,0,10,12,0,0,165.2,75,85,81.60,714,162,25,2,12,67,7,0,164,8,1,8,4.07,4.62,4.43,4.24,3.54,1.38,/player/?m=playerinfo&p_no=14627,14627
2021,롯데,3,프랑코,21  P,2.10,37,27,10,1,0,0,9,8,0,1,150.0,90,97,95.95,677,147,31,2,20,75,20,0,124,6,1,6,5.40,5.82,5.76,5.37,5.25,1.48,/player/?m=playerinfo&p_no=14756,14756
2021,LG,1,켈리,21  P,5.63,30,30,0,0,0,0,13,8,0,0,177.0,62,64,63.15,744,160,25,0,12,60,11,3,142,7,1,7,3.15,3.25,3.21,3.38,3.76,1.24,/player/?m=playerinfo&p_no=13934,13934
2021,LG,2,수아레즈,21  P,4.52,23,22,1,0,0,0,10,2,0,0,115.1,28,33,33.00,473,91,16,2,4,41,4,0,126,6,0,2,2.18,2.58,2.58,2.75,2.66,1.14,/player/?m=playerinfo&p_no=14753,14753
2021,LG,3,이민호,21  P,2.13,25,22,3,0,0,0,8,9,0,0,115.0,55,58,54.75,477,89,17,0,13,45,14,1,100,3,0,6,4.30,4.54,4.28,4.52,4.53,1.17,/player/?m=playerinfo&p_no=14589,14589
2021,두산,1,미란다,21  P,7.49,28,28,0,1,1,1,14,5,0,0,173.2,45,49,48.30,709,135,21,1,11,63,1,0,225,3,1,7,2.33,2.54,2.50,2.73,2.42,1.14,/player/?m=playerinfo&p_no=14751,14751
2021,두산,2,최원준,21  P,4.88,29,29,0,0,0,0,12,4,0,0,158.1,58,65,62.25,673,160,31,4,15,37,10,1,113,5,0,0,3.30,3.69,3.54,3.75,4.01,1.24,/player/?m=playerinfo&p_no=12852,12852
2021,두산,3,로켓,21  P,4.49,21,21,0,1,1,0,9,9,0,0,124.0,41,44,42.80,540,132,20,2,5,42,12,1,112,3,1,1,2.98,3.19,3.11,3.35,3.34,1.40,/player/?m=playerinfo&p_no=14750,14750
2021,한화,1,킹험,21  P,4.20,25,25,0,0,0,0,10,8,0,0,144.0,51,58,57.50,591,117,22,0,11,41,5,1,131,10,2,4,3.19,3.63,3.59,3.62,3.39,1.10,/player/?m=playerinfo&p_no=14582,14582
2021,한화,2,김민우,21  P,3.90,29,28,1,0,0,0,14,10,0,0,155.1,69,71,66.20,662,131,23,1,15,76,7,1,125,5,1,5,4.00,4.11,3.84,3.93,4.56,1.33,/player/?m=playerinfo&p_no=11410,11410
2021,한화,3,카펜터,21  P,2.79,31,30,1,0,0,0,5,12,0,0,170.0,75,90,87.75,746,150,21,3,16,72,19,0,179,16,1,7,3.97,4.76,4.65,4.78,3.91,1.31,/player/?m=playerinfo&p_no=14760,14760
2021,SK_SSG,1,폰트,21  P,4.09,25,25,0,0,0,0,8,5,0,0,145.2,56,66,66.00,604,114,22,1,12,45,6,1,157,11,1,2,3.46,4.08,4.08,3.96,3.12,1.09,/player/?m=playerinfo&p_no=14759,14759
2021,SK_SSG,2,이태양,21  P,0.74,40,14,26,3,0,0,5,10,0,4,103.2,66,66,68.25,456,123,23,1,25,32,1,1,62,3,0,2,5.73,5.73,5.93,5.70,6.10,1.50,/player/?m=playerinfo&p_no=10609,10609
2021,SK_SSG,3,오원석,21  P,-0.06,33,21,12,2,0,0,7,6,0,2,110.0,72,84,84.35,530,125,20,3,11,73,10,1,95,8,1,2,5.89,6.87,6.90,6.91,5.14,1.80,/player/?m=playerinfo&p_no=14581,14581
2021,넥센_키움,1,요키시,21  P,5.58,31,31,0,0,0,0,16,9,0,0,181.1,59,71,69.45,739,171,24,0,12,46,4,2,131,18,0,9,2.93,3.52,3.45,3.48,3.59,1.20,/player/?m=playerinfo&p_no=13940,13940
2021,넥센_키움,2,안우진,21  P,2.73,21,21,0,0,0,0,8,8,0,0,107.2,39,47,46.15,450,88,15,1,13,41,7,1,110,7,1,5,3.26,3.93,3.86,3.98,4.00,1.20,/player/?m=playerinfo&p_no=13091,13091
2021,넥센_키움,3,최원태,21  P,1.51,28,28,0,0,0,0,9,11,0,0,143.1,73,89,84.75,643,163,21,3,11,53,10,2,93,10,0,3,4.58,5.59,5.32,5.55,4.38,1.51,/player/?m=playerinfo&p_no=11379,11379
2021,NC,1,루친스키,21  P,5.79,30,30,0,0,0,0,15,10,0,0,178.2,63,76,73.95,754,160,24,1,12,55,10,0,177,17,2,6,3.17,3.83,3.73,3.64,3.22,1.20,/player/?m=playerinfo&p_no=13932,13932
2021,NC,2,파슨스,21  P,4.39,24,24,0,1,1,0,4,8,0,0,133.0,55,56,54.80,577,109,16,2,9,63,11,0,148,7,1,10,3.72,3.79,3.71,3.56,3.51,1.29,/player/?m=playerinfo&p_no=14749,14749
2021,NC,3,신민혁,21  P,3.51,30,25,5,2,0,0,9,6,0,0,145.0,71,75,72.80,625,155,28,3,17,44,5,0,107,4,2,2,4.41,4.66,4.52,4.46,4.36,1.37,/player/?m=playerinfo&p_no=13085,13085
2021,NC,4,송명기,21  P,1.48,24,24,0,0,0,0,8,9,0,0,123.1,81,83,77.65,574,147,39,2,12,58,9,1,102,3,1,2,5.91,6.06,5.67,5.61,4.52,1.66,/player/?m=playerinfo&p_no=14155,14155
2021,KT,1,고영표,21  P,5.65,26,25,1,1,1,1,11,6,0,1,166.2,54,59,58.65,664,147,20,2,9,27,14,1,130,5,0,1,2.92,3.19,3.17,3.15,3.22,1.04,/player/?m=playerinfo&p_no=11308,11308
2021,KT,2,데스파이네,21  P,5.24,33,33,0,0,0,0,13,10,0,0,188.2,71,81,79.80,819,175,30,3,10,78,7,0,165,11,0,15,3.39,3.86,3.81,3.68,3.61,1.34,/player/?m=playerinfo&p_no=14602,14602
2021,KT,3,배제성,21  P,3.55,26,26,0,0,0,0,9,10,0,0,141.2,58,67,64.10,621,126,27,1,6,82,1,1,136,12,0,9,3.68,4.26,4.07,4.02,3.69,1.47,/player/?m=playerinfo&p_no=11394,11394
2021,KT,4,쿠에바스,21  P,2.52,23,23,0,1,1,1,9,5,0,0,133.1,61,68,67.50,580,131,21,3,11,51,3,0,137,10,0,6,4.12,4.59,4.56,4.55,3.44,1.37,/player/?m=playerinfo&p_no=13942,13942
2021,KT,5,소형준,21  P,2.10,24,24,0,0,0,0,7,7,0,0,119.0,55,67,63.15,521,123,17,0,6,51,4,1,85,11,0,5,4.16,5.07,4.78,4.69,4.01,1.46,/player/?m=playerinfo&p_no=14600,14600
2022,삼성,1,수아레즈,22  P,6.65,30,29,1,0,0,0,6,8,0,0,173.2,48,61,59.80,714,151,19,0,7,50,4,0,159,16,0,6,2.49,3.16,3.10,3.09,2.94,1.16,/player/?m=playerinfo&p_no=15001,15001
2022,삼성,2,뷰캐넌,22  P,5.75,26,26,0,1,1,1,11,8,0,0,160.0,54,61,60.30,691,176,29,2,10,39,8,0,117,6,0,2,3.04,3.43,3.39,3.22,3.61,1.34,/player/?m=playerinfo&p_no=14617,14617
2022,삼성,3,원태인,22  P,4.67,27,27,0,0,0,0,10,8,0,0,165.1,72,75,73.30,700,175,25,1,16,38,4,3,130,8,0,3,3.92,4.08,3.99,3.86,3.72,1.29,/player/?m=playerinfo&p_no=14113,14113
2022,삼성,4,백정현,22  P,1.75,24,24,0,0,0,0,4,13,0,0,124.2,73,76,73.75,562,154,27,2,22,37,9,1,70,9,0,9,5.27,5.49,5.32,5.20,5.62,1.53,/player/?m=playerinfo&p_no=10363,10363
2022,KIA,1,놀린,22  P,4.31,21,21,0,0,0,0,8,8,0,0,124.0,34,41,40.00,512,115,19,2,7,24,8,1,108,9,1,4,2.47,2.98,2.90,2.96,3.05,1.12,/player/?m=playerinfo&p_no=14998,14998
2022,KIA,2,양현종,22  P,3.07,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,4.44,3.66,1.25,/player/?m=playerinfo&p_no=10058,10058
2022,KIA,3,임기영,22  P,2.51,26,23,3,1,0,0,4,13,1,0,129.1,61,63,60.55,555,137,25,1,18,36,5,1,82,0,0,2,4.24,4.38,4.21,4.26,4.81,1.34,/player/?m=playerinfo&p_no=10909,10909
2022,KIA,4,이의리,22  P,2.32,29,28,1,0,0,0,10,10,0,0,154.0,66,79,78.80,671,128,26,4,18,74,9,0,161,10,0,7,3.86,4.62,4.61,4.68,4.23,1.31,/player/?m=playerinfo&p_no=14788,14788
2022,롯데,1,반즈,22  P,5.70,31,31,0,0,0,0,12,12,0,0,186.1,75,87,80.15,788,176,27,5,8,47,18,1,160,10,0,7,3.62,4.20,3.87,3.75,3.21,1.20,/player/?m=playerinfo&p_no=15011,15011
2022,롯데,2,박세웅,22  P,3.97,28,28,0,0,0,0,10,11,0,0,157.1,68,80,77.45,679,179,32,4,8,32,8,1,146,12,0,8,3.89,4.58,4.43,4.31,2.84,1.34,/player/?m=playerinfo&p_no=11310,11310
2022,롯데,3,이인복,22  P,3.48,26,23,3,0,0,0,9,9,0,1,126.2,59,63,60.25,547,153,22,1,6,30,4,0,71,6,0,4,4.19,4.48,4.28,4.06,3.78,1.44,/player/?m=playerinfo&p_no=11232,11232
2022,롯데,4,나균안,22  P,2.73,39,13,26,1,0,0,3,8,0,2,117.2,52,55,56.55,506,125,36,3,5,37,3,1,123,2,0,6,3.98,4.21,4.33,4.16,2.73,1.38,/player/?m=playerinfo&p_no=12930,12930
2022,LG,1,켈리,22  P,5.26,27,27,0,0,0,0,16,4,0,0,166.1,47,50,50.00,664,144,10,4,10,35,2,0,153,5,0,3,2.54,2.71,2.71,2.93,2.89,1.08,/player/?m=playerinfo&p_no=13934,13934
2022,LG,2,플럿코,22  P,5.26,28,28,0,0,0,0,15,5,0,0,162.0,43,53,50.60,644,125,18,2,13,38,2,2,149,10,0,5,2.39,2.94,2.81,2.95,3.19,1.01,/player/?m=playerinfo&p_no=15003,15003
2022,LG,3,김윤식,22  P,2.70,23,23,0,0,0,0,8,5,0,0,114.1,42,46,43.60,483,125,22,1,5,27,1,2,81,8,0,4,3.31,3.62,3.43,3.64,3.29,1.33,/player/?m=playerinfo&p_no=14588,14588
2022,LG,4,임찬규,22  P,0.72,23,23,0,0,0,0,6,11,0,0,103.2,58,60,55.70,459,113,13,3,10,39,7,0,75,5,0,3,5.04,5.21,4.84,5.22,4.50,1.47,/player/?m=playerinfo&p_no=10652,10652
2022,LG,5,이민호,22  P,0.30,26,26,0,0,0,0,12,8,0,0,119.1,73,77,72.90,540,146,23,5,14,43,7,0,73,3,0,9,5.51,5.81,5.50,5.79,4.95,1.58,/player/?m=playerinfo&p_no=14589,14589
2022,두산,1,곽빈,22  P,3.53,27,27,0,0,0,0,8,9,0,0,147.2,62,69,64.85,645,143,30,0,13,60,11,1,138,7,1,9,3.78,4.21,3.95,4.13,3.99,1.37,/player/?m=playerinfo&p_no=13061,13061
2022,두산,2,최원준,22  P,3.43,30,30,0,0,0,0,8,13,0,0,165.0,66,80,76.70,713,183,31,2,21,37,7,0,113,10,1,1,3.60,4.36,4.18,4.35,4.41,1.33,/player/?m=playerinfo&p_no=12852,12852
2022,두산,3,스탁,22  P,2.68,29,29,0,0,0,0,9,10,0,0,165.0,66,87,83.95,722,162,24,2,9,83,10,0,138,9,0,12,3.60,4.75,4.58,4.74,4.09,1.48,/player/?m=playerinfo&p_no=14999,14999
2022,한화,1,김민우,22  P,3.09,29,29,0,1,1,0,6,11,0,0,163.0,79,82,78.00,711,143,40,1,16,84,8,8,129,9,0,13,4.36,4.53,4.31,4.33,4.61,1.39,/player/?m=playerinfo&p_no=11410,11410
2022,한화,2,장민재,22  P,3.03,32,25,7,1,0,0,7,8,0,0,126.2,50,54,54.00,531,124,18,2,15,39,4,1,75,6,0,3,3.55,3.84,3.84,3.82,4.74,1.29,/player/?m=playerinfo&p_no=10610,10610
2022,SK_SSG,1,김광현,22  P,6.44,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48.00,694,141,16,2,10,45,5,2,153,9,0,1,2.13,2.49,2.49,2.44,3.14,1.07,/player/?m=playerinfo&p_no=10126,10126
2022,SK_SSG,2,폰트,22  P,5.58,28,28,0,1,1,0,13,6,0,0,184.0,55,63,63.00,729,141,22,3,18,34,6,1,170,7,0,5,2.69,3.08,3.08,3.01,3.31,0.95,/player/?m=playerinfo&p_no=14759,14759
2022,SK_SSG,3,이태양,22  P,2.15,30,17,13,3,0,0,8,3,0,1,112.0,45,50,49.30,472,116,18,0,15,24,5,2,61,7,0,0,3.62,4.02,3.96,3.78,4.76,1.25,/player/?m=playerinfo&p_no=10609,10609
2022,SK_SSG,4,오원석,22  P,1.78,31,24,7,0,0,0,6,8,0,0,144.0,72,79,72.75,633,158,21,2,16,58,3,1,112,9,0,7,4.50,4.94,4.55,4.46,4.48,1.50,/player/?m=playerinfo&p_no=14581,14581
2022,넥센_키움,1,안우진,22  P,8.45,30,30,0,1,1,0,15,8,0,0,196.0,46,51,50.65,766,131,36,4,4,55,4,1,224,6,1,7,2.11,2.34,2.33,2.36,2.09,0.95,/player/?m=playerinfo&p_no=13091,13091
2022,넥센_키움,2,요키시,22  P,6.25,30,30,0,0,0,0,10,8,0,0,185.1,53,61,59.80,746,169,31,3,8,33,5,0,154,13,0,2,2.57,2.96,2.90,3.06,2.86,1.09,/player/?m=playerinfo&p_no=13940,13940
2022,넥센_키움,3,애플러,22  P,2.34,33,25,8,2,1,1,6,8,0,0,140.1,67,69,68.30,622,172,34,1,13,40,6,1,86,8,0,4,4.30,4.43,4.38,4.46,4.37,1.51,/player/?m=playerinfo&p_no=15005,15005
2022,넥센_키움,4,최원태,22  P,2.08,26,20,6,0,0,0,7,5,0,0,105.2,44,50,46.75,446,93,25,0,5,40,5,0,63,7,0,5,3.75,4.26,3.98,4.15,4.18,1.26,/player/?m=playerinfo&p_no=11379,11379
2022,NC,1,루친스키,22  P,5.68,31,31,0,0,0,0,10,12,0,0,193.2,64,77,75.10,797,184,34,2,14,34,8,1,194,10,0,9,2.97,3.58,3.49,3.49,2.80,1.13,/player/?m=playerinfo&p_no=13932,13932
2022,NC,2,구창모,22  P,4.85,19,19,0,0,0,0,11,5,0,0,111.2,26,32,30.10,451,92,16,0,7,29,4,0,108,5,0,7,2.10,2.58,2.43,2.43,3.03,1.08,/player/?m=playerinfo&p_no=11353,11353
2022,NC,3,신민혁,22  P,1.89,26,23,3,0,0,0,4,9,0,0,118.1,60,64,61.80,521,128,30,1,15,31,10,1,105,4,1,5,4.56,4.87,4.70,4.63,4.12,1.34,/player/?m=playerinfo&p_no=13085,13085
2022,NC,4,송명기,22  P,1.33,25,22,3,2,0,0,5,7,0,0,107.2,54,67,62.05,496,116,21,4,14,54,15,0,106,6,0,9,4.51,5.60,5.19,5.15,4.75,1.58,/player/?m=playerinfo&p_no=14155,14155
2022,KT,1,고영표,22  P,5.31,28,28,0,1,1,1,13,8,0,0,182.1,66,69,67.45,758,191,31,3,7,23,16,1,156,7,0,1,3.26,3.41,3.33,3.21,2.75,1.17,/player/?m=playerinfo&p_no=11308,11308
2022,KT,2,소형준,22  P,4.70,27,27,0,0,0,0,13,6,0,0,171.1,58,68,66.60,703,158,16,6,8,39,5,1,117,11,0,6,3.05,3.57,3.50,3.39,3.41,1.15,/player/?m=playerinfo&p_no=14600,14600
2022,KT,3,엄상백,22  P,4.13,33,22,11,0,0,0,11,2,0,0,140.1,46,52,51.15,581,125,24,2,14,46,4,0,139,4,0,1,2.95,3.33,3.28,3.12,3.60,1.22,/player/?m=playerinfo&p_no=11318,11318
2022,KT,4,데스파이네,22  P,2.27,30,29,1,0,0,0,8,12,0,0,163.0,82,94,88.20,725,198,27,0,14,48,9,2,123,13,1,7,4.53,5.19,4.87,4.70,3.98,1.51,/player/?m=playerinfo&p_no=14602,14602
2022,KT,5,배제성,22  P,1.54,24,18,6,4,0,0,3,9,0,0,107.0,50,56,54.30,458,103,15,2,8,46,1,0,89,3,0,8,4.21,4.71,4.57,4.26,3.96,1.39,/player/?m=playerinfo&p_no=11394,11394
2023,삼성,1,뷰캐넌,23  P,6.31,30,30,0,1,1,0,12,8,0,0,188.0,53,71,69.95,784,174,25,2,4,43,6,1,139,13,1,7,2.54,3.40,3.35,3.25,3.05,1.15,/player/?m=playerinfo&p_no=14617,14617
2023,삼성,2,원태인,23  P,4.48,26,26,0,0,0,0,7,7,0,0,150.0,54,61,59.95,634,157,26,1,15,34,6,2,102,4,2,6,3.24,3.66,3.60,3.58,4.17,1.27,/player/?m=playerinfo&p_no=14113,14113
2023,삼성,3,수아레즈,23  P,2.52,19,19,0,0,0,0,4,7,0,0,108.0,47,54,51.05,479,129,19,1,3,32,2,0,88,10,0,6,3.92,4.50,4.25,4.09,3.12,1.49,/player/?m=playerinfo&p_no=15001,15001
2023,KIA,1,양현종,23  P,3.54,29,29,0,0,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.70,1.34,/player/?m=playerinfo&p_no=10058,10058
2023,KIA,2,이의리,23  P,2.78,28,28,0,0,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49,/player/?m=playerinfo&p_no=14788,14788
2023,KIA,3,윤영철,23  P,2.27,25,24,1,0,0,0,8,7,0,0,122.2,55,59,56.05,528,124,27,3,10,48,1,1,74,5,1,4,4.04,4.33,4.11,4.21,4.55,1.40,/player/?m=playerinfo&p_no=15432,15432
2023,롯데,1,반즈,23  P,5.74,30,30,0,0,0,0,11,10,0,0,170.1,62,68,65.40,734,171,34,1,6,56,15,1,147,7,0,7,3.28,3.59,3.46,3.41,3.40,1.33,/player/?m=playerinfo&p_no=15011,15011
2023,롯데,2,박세웅,23  P,4.63,27,27,0,0,0,0,9,7,0,0,154.0,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.93,3.82,3.62,1.32,/player/?m=playerinfo&p_no=11310,11310
2023,롯데,3,나균안,23  P,3.40,23,23,0,0,0,0,6,8,0,0,130.1,55,61,58.75,569,140,27,3,8,42,5,1,114,4,0,6,3.80,4.21,4.06,3.96,3.51,1.40,/player/?m=playerinfo&p_no=12930,12930
2023,롯데,4,한현희,23  P,0.95,38,18,20,3,0,0,6,12,0,3,104.0,63,69,65.60,476,123,20,4,11,44,11,1,74,3,0,6,5.45,5.97,5.68,5.53,4.97,1.61,/player/?m=playerinfo&p_no=10863,10863
2023,LG,1,플럿코,23  P,4.58,21,21,0,0,0,0,11,3,0,0,123.1,33,37,37.00,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.70,2.70,2.74,3.14,1.18,/player/?m=playerinfo&p_no=15003,15003
2023,LG,2,켈리,23  P,3.41,30,30,0,0,0,0,10,7,0,0,178.2,76,87,81.90,746,183,31,3,10,39,6,1,129,7,0,6,3.83,4.38,4.13,4.27,3.49,1.24,/player/?m=playerinfo&p_no=13934,13934
2023,LG,3,임찬규,23  P,3.40,30,26,4,1,0,0,14,3,0,1,144.2,55,63,59.75,632,142,22,2,10,54,5,1,103,10,1,1,3.42,3.92,3.72,3.91,4.16,1.35,/player/?m=playerinfo&p_no=10652,10652
2023,두산,1,알칸타라,23  P,5.79,31,31,0,0,0,0,13,9,0,0,192.0,57,67,67.00,777,171,33,0,16,35,5,1,162,11,0,3,2.67,3.14,3.14,3.34,3.38,1.07,/player/?m=playerinfo&p_no=13941,13941
2023,두산,2,곽빈,23  P,4.36,23,23,0,0,0,0,12,7,0,0,127.1,41,44,40.75,526,96,18,1,7,58,5,0,106,3,1,4,2.90,3.11,2.88,3.10,3.96,1.21,/player/?m=playerinfo&p_no=13061,13061
2023,두산,3,브랜든,23  P,3.61,18,18,0,0,0,0,11,3,0,0,104.2,29,34,33.50,427,80,13,0,4,30,12,0,100,3,0,3,2.49,2.92,2.88,3.03,3.16,1.05,/player/?m=playerinfo&p_no=15153,15153
2023,두산,4,최승용,23  P,1.94,34,20,14,4,0,0,3,6,1,0,111.0,49,54,52.10,479,116,11,1,9,34,4,0,82,7,0,3,3.97,4.38,4.22,4.44,4.03,1.35,/player/?m=playerinfo&p_no=14770,14770
2023,두산,5,최원준,23  P,1.23,26,20,6,1,0,0,3,10,0,0,107.2,59,60,58.50,465,119,33,1,11,28,12,0,71,2,0,1,4.93,5.02,4.89,4.95,4.57,1.37,/player/?m=playerinfo&p_no=12852,12852
2023,한화,1,페냐,23  P,4.20,32,32,0,0,0,0,11,11,0,0,177.1,71,82,79.25,751,149,28,5,14,59,18,1,147,13,4,16,3.60,4.16,4.02,3.98,4.06,1.17,/player/?m=playerinfo&p_no=15146,15146
2023,한화,2,문동주,23  P,2.96,23,23,0,0,0,0,8,8,0,0,118.2,49,52,49.95,503,113,20,2,6,42,4,0,95,2,1,5,3.72,3.94,3.79,3.82,3.65,1.31,/player/?m=playerinfo&p_no=15013,15013
2023,한화,3,산체스,23  P,2.51,24,24,0,0,0,0,7,8,0,0,126.0,53,62,60.80,540,136,23,0,13,28,6,2,99,7,0,3,3.79,4.43,4.34,4.29,3.92,1.30,/player/?m=playerinfo&p_no=15643,15643
2023,SK_SSG,1,김광현,23  P,4.48,30,30,0,0,0,0,9,8,0,0,168.1,66,75,72.75,713,163,30,0,11,70,2,0,119,9,0,5,3.53,4.01,3.89,3.89,4.19,1.38,/player/?m=playerinfo&p_no=10126,10126
2023,SK_SSG,2,엘리아스,23  P,3.54,22,21,1,1,0,0,8,6,0,0,131.1,54,58,56.80,548,140,22,1,12,33,6,1,93,5,0,0,3.70,3.97,3.89,3.78,4.09,1.32,/player/?m=playerinfo&p_no=15644,15644
2023,SK_SSG,3,맥카티,23  P,3.38,24,24,0,0,0,0,9,5,0,0,130.0,49,58,56.80,543,124,19,2,10,45,1,0,116,6,1,4,3.39,4.02,3.93,3.85,3.63,1.30,/player/?m=playerinfo&p_no=15528,15528
