Year,Team,Rank,Name,Pos,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,url,player_id
2018,한화,3,김재영,18  P,1.64,29,21,8,1,0,0,6,4,0,1,111.1,70,74,67.80,503,136,32,1,15,37,12,0,56,7,0,4,5.66,5.98,5.48,5.45,6.06,1.55,/player/?m=playerinfo&p_no=12547,12547
2018,SK_SSG,1,김광현,18  P,6.22,25,25,0,0,0,0,11,8,0,0,136.0,45,48,46.60,554,125,16,2,16,30,2,0,130,9,0,3,2.98,3.18,3.08,3.04,4.09,1.14,/player/?m=playerinfo&p_no=10126,10126
2018,SK_SSG,2,켈리,18  P,5.23,28,28,0,0,0,0,12,7,0,0,158.1,72,78,77.30,674,152,28,3,18,47,13,1,161,5,2,5,4.09,4.43,4.39,4.22,4.33,1.26,/player/?m=playerinfo&p_no=11368,11368
2018,SK_SSG,3,박종훈,18  P,5.09,30,30,0,0,0,0,14,8,0,0,159.1,74,81,78.10,702,158,31,3,16,54,20,0,133,12,0,3,4.18,4.58,4.41,4.26,4.89,1.33,/player/?m=playerinfo&p_no=10131,10131
2018,SK_SSG,4,문승원,18  P,3.61,31,27,4,3,0,0,8,9,1,1,150.2,77,86,84.30,656,180,33,2,24,37,4,0,122,8,0,4,4.60,5.14,5.04,5.00,5.06,1.44,/player/?m=playerinfo&p_no=10783,10783
2018,SK_SSG,5,산체스,18  P,3.18,29,26,3,0,0,0,8,8,0,1,145.1,79,90,88.45,632,161,21,3,26,39,7,1,124,9,0,12,4.89,5.57,5.48,5.33,5.30,1.38,/player/?m=playerinfo&p_no=13063,13063
2018,넥센_키움,1,브리검,18  P,6.31,31,30,1,2,2,1,11,7,0,1,199.0,85,89,86.80,829,188,28,3,19,50,19,0,175,7,0,4,3.84,4.03,3.93,4.07,4.36,1.20,/player/?m=playerinfo&p_no=12992,12992
2018,넥센_키움,2,최원태,18  P,4.15,23,23,0,1,1,0,13,7,0,0,134.1,59,62,59.45,577,144,28,0,8,35,11,0,101,9,0,3,3.95,4.15,3.98,4.04,4.24,1.33,/player/?m=playerinfo&p_no=11379,11379
2018,넥센_키움,3,한현희,18  P,3.16,30,28,2,0,0,0,11,7,0,0,169.0,90,98,96.95,756,208,42,3,22,49,20,0,105,8,0,6,4.79,5.22,5.16,5.26,5.61,1.52,/player/?m=playerinfo&p_no=10863,10863
2018,넥센_키움,4,신재영,18  P,0.40,26,21,5,2,0,0,8,9,0,1,101.1,76,80,75.40,452,133,27,2,31,23,8,2,53,3,0,0,6.75,7.11,6.70,6.84,7.60,1.54,/player/?m=playerinfo&p_no=11149,11149
2018,NC,1,이재학,18  P,3.46,29,29,0,1,1,0,5,13,0,0,152.1,81,87,81.15,658,157,27,2,13,49,10,2,116,7,0,6,4.79,5.14,4.79,4.78,4.64,1.35,/player/?m=playerinfo&p_no=10220,10220
2018,NC,2,왕웨이중,18  P,3.00,25,25,0,0,0,0,7,10,0,0,141.2,67,83,79.40,615,169,25,1,16,40,2,2,108,13,0,2,4.26,5.27,5.04,5.12,4.68,1.48,/player/?m=playerinfo&p_no=12783,12783
2018,NC,3,베렛,18  P,2.83,29,29,0,0,0,0,6,10,0,0,155.0,91,94,92.10,698,178,31,2,24,59,9,0,144,5,1,10,5.28,5.46,5.35,5.33,5.23,1.53,/player/?m=playerinfo&p_no=13066,13066
2018,NC,4,구창모,18  P,2.07,36,23,13,0,0,0,5,11,0,1,133.0,79,83,82.10,598,158,31,2,21,52,7,0,116,8,1,16,5.35,5.62,5.56,5.60,5.42,1.58,/player/?m=playerinfo&p_no=11353,11353
2018,KT,1,니퍼트,18  P,5.29,29,28,1,0,0,0,8,8,0,0,175.2,83,88,86.80,765,209,33,4,26,39,9,2,165,7,0,9,4.25,4.51,4.45,4.33,4.59,1.41,/player/?m=playerinfo&p_no=10641,10641
2018,KT,2,피어밴드,18  P,4.22,27,26,1,1,1,0,8,8,0,0,163.1,78,90,89.65,707,186,27,1,24,38,6,0,141,4,0,5,4.30,4.96,4.94,4.87,4.70,1.37,/player/?m=playerinfo&p_no=11380,11380
2018,KT,3,고영표,18  P,2.70,25,23,2,3,3,1,6,9,0,0,142.0,81,91,87.00,620,175,27,4,17,25,14,1,134,4,1,2,5.13,5.77,5.51,5.41,4.26,1.41,/player/?m=playerinfo&p_no=11308,11308
2018,KT,4,금민철,18  P,2.69,29,29,0,0,0,0,8,12,0,0,156.1,94,104,100.55,720,212,30,1,19,68,7,1,79,7,0,10,5.41,5.99,5.79,5.73,6.00,1.79,/player/?m=playerinfo&p_no=10425,10425
2019,삼성,1,백정현,19  P,2.99,28,27,1,1,1,1,8,10,0,0,157.0,74,85,81.55,677,158,29,4,17,56,6,0,82,12,0,4,4.24,4.87,4.67,4.42,5.02,1.36,/player/?m=playerinfo&p_no=10363,10363
2019,삼성,2,윤성환,19  P,2.15,27,27,0,1,1,1,8,13,0,0,145.1,77,87,81.65,643,168,34,3,14,50,7,0,65,7,0,3,4.77,5.39,5.06,4.80,5.05,1.50,/player/?m=playerinfo&p_no=10368,10368
2019,삼성,3,맥과이어,19  P,1.56,21,21,0,1,1,1,4,8,0,0,112.1,63,68,64.90,512,119,24,3,13,66,6,0,100,6,2,3,5.05,5.45,5.20,4.90,4.84,1.65,/player/?m=playerinfo&p_no=13936,13936
2019,삼성,4,원태인,19  P,1.42,26,20,6,3,0,0,4,8,0,2,112.0,60,65,63.10,493,119,26,3,12,39,5,0,68,6,2,6,4.82,5.22,5.07,4.87,4.78,1.41,/player/?m=playerinfo&p_no=14113,14113
2019,삼성,5,최채흥,19  P,0.70,28,15,13,3,0,0,6,6,0,2,106.2,57,67,67.50,478,127,21,5,10,36,1,1,89,8,0,6,4.81,5.65,5.70,5.43,3.89,1.53,/player/?m=playerinfo&p_no=13156,13156
2019,KIA,1,양현종,19  P,8.18,29,29,0,2,2,2,16,8,0,0,184.2,47,56,54.95,731,165,32,1,6,33,2,0,163,6,0,1,2.29,2.73,2.68,2.64,2.58,1.07,/player/?m=playerinfo&p_no=10058,10058
2019,KIA,2,윌랜드,19  P,3.02,28,28,0,0,0,0,8,10,0,0,165.0,87,95,91.55,726,191,41,1,17,59,5,1,137,9,0,4,4.75,5.18,4.99,4.95,4.14,1.52,/player/?m=playerinfo&p_no=13924,13924
2019,KIA,3,터너,19  P,0.73,28,28,0,1,1,0,7,13,0,0,153.1,93,107,104.95,714,179,34,3,12,58,17,0,121,20,0,14,5.46,6.28,6.16,6.24,4.28,1.55,/player/?m=playerinfo&p_no=13925,13925
2019,롯데,1,레일리,19  P,5.16,30,30,0,0,0,0,5,14,0,0,181.0,78,88,83.20,791,191,32,4,10,65,8,1,140,12,1,10,3.88,4.38,4.14,3.98,3.78,1.41,/player/?m=playerinfo&p_no=11392,11392
2019,롯데,2,장시환,19  P,2.27,27,27,0,0,0,0,6,13,0,0,125.1,69,78,71.95,570,147,29,1,12,58,2,1,109,9,0,17,4.95,5.60,5.17,5.09,4.23,1.64,/player/?m=playerinfo&p_no=10453,10453
2019,롯데,3,김원중,19  P,0.63,28,17,11,5,0,0,5,10,0,1,102.1,64,75,71.40,485,127,21,1,13,47,6,1,93,8,0,6,5.63,6.60,6.28,6.13,4.65,1.70,/player/?m=playerinfo&p_no=10825,10825
2019,LG,1,켈리,19  P,4.03,29,29,0,0,0,0,14,12,0,0,180.1,51,70,70.00,747,164,33,3,7,41,16,0,126,8,0,12,2.55,3.49,3.49,3.82,3.50,1.14,/player/?m=playerinfo&p_no=13934,13934
2019,LG,2,윌슨,19  P,3.70,30,30,0,1,1,0,14,7,0,0,185.0,60,77,74.25,763,171,27,2,7,44,10,1,137,14,0,6,2.92,3.75,3.61,3.93,3.23,1.16,/player/?m=playerinfo&p_no=13062,13062
2019,LG,3,차우찬,19  P,1.84,29,28,1,0,0,0,13,8,0,0,168.1,77,87,85.80,730,181,30,1,16,59,5,0,124,6,0,13,4.12,4.65,4.59,4.89,4.28,1.43,/player/?m=playerinfo&p_no=10381,10381
2019,두산,1,린드블럼,19  P,6.32,30,30,0,0,0,0,20,3,0,0,194.2,54,57,55.95,773,165,22,3,13,29,6,0,189,9,0,7,2.50,2.64,2.59,2.83,2.73,1.00,/player/?m=playerinfo&p_no=11393,11393
2019,두산,2,이영하,19  P,3.57,29,27,2,3,1,0,17,4,0,0,163.1,66,70,65.55,692,148,28,5,5,61,10,1,90,7,2,4,3.64,3.86,3.61,3.74,4.12,1.28,/player/?m=playerinfo&p_no=12568,12568
2019,두산,3,유희관,19  P,3.55,28,27,1,2,2,0,11,8,0,0,166.1,60,67,64.60,692,171,37,2,8,42,3,3,64,7,0,2,3.25,3.63,3.50,3.75,4.26,1.28,/player/?m=playerinfo&p_no=10213,10213
2019,두산,4,후랭코프,19  P,2.44,22,22,0,0,0,0,9,8,0,0,117.1,47,48,46.95,495,110,20,2,5,30,13,1,111,4,1,2,3.61,3.68,3.60,3.89,3.09,1.19,/player/?m=playerinfo&p_no=13058,13058
2019,두산,5,이용찬,19  P,1.72,26,26,0,0,0,0,7,10,0,0,148.1,67,75,70.90,651,168,28,2,15,45,6,3,102,8,0,3,4.07,4.55,4.30,4.56,4.34,1.44,/player/?m=playerinfo&p_no=10217,10217
2019,한화,1,채드벨,19  P,5.06,29,29,0,0,0,0,11,10,0,0,177.1,69,73,71.60,749,169,33,2,14,63,10,0,134,8,1,8,3.50,3.70,3.63,3.73,4.14,1.31,/player/?m=playerinfo&p_no=13939,13939
